Wavelength (nm),Sensitivity (A/W)
854,0.62245
855,0.62306
856,0.62367
857,0.62428
858,0.62489
859,0.6255
860,0.62604
861,0.62652
862,0.62699
863,0.62747
864,0.62795
865,0.62842
866,0.6289
867,0.62937
868,0.62985
869,0.63032
870,0.6308
871,0.63127
872,0.63175
873,0.63223
874,0.6327
875,0.63318
876,0.63365
877,0.63413
878,0.6346
879,0.63508
880,0.63555
881,0.63603
882,0.6365
883,0.63698
884,0.63745
885,0.63793
886,0.63828
887,0.63859
888,0.63889
889,0.6392
890,0.6395
891,0.63981
892,0.64011
893,0.64042
894,0.64073
895,0.64103
896,0.64134
897,0.64163
898,0.64189
899,0.64216
900,0.64242
901,0.64268
902,0.64294
903,0.6432
904,0.64347
905,0.64373
906,0.64399
907,0.64425
908,0.64448
909,0.6447
910,0.64493
911,0.64516
912,0.64539
913,0.64562
914,0.64585
915,0.64608
916,0.64631
917,0.64654
918,0.64677
919,0.64669
920,0.64648
921,0.64628
922,0.64607
923,0.64587
924,0.64567
925,0.64546
926,0.64526
927,0.64506
928,0.64485
929,0.64465
930,0.64445
931,0.64424
932,0.64395
933,0.64365
934,0.64334
935,0.64304
936,0.64273
937,0.64243
938,0.64212
939,0.64182
940,0.64151
941,0.6412
942,0.6409
943,0.64052
944,0.64
945,0.63947
946,0.63895
947,0.63842
948,0.6379
949,0.63738
950,0.63685
951,0.63633
952,0.63581
953,0.63514
954,0.63412
955,0.6331
956,0.63208
957,0.63107
958,0.63005
959,0.62903
960,0.62801
961,0.627
962,0.6257
963,0.62427
964,0.62284
965,0.62142
966,0.61999
967,0.61856
968,0.61713
969,0.61571
970,0.61424
971,0.61241
972,0.61058
973,0.60874
974,0.60691
975,0.60507
976,0.60324
977,0.60141
978,0.59946
979,0.59751
980,0.59555
981,0.5936
982,0.59165
983,0.58969
984,0.58774
985,0.58542
986,0.58297
987,0.58053
988,0.57808
989,0.57563
990,0.57318
991,0.57001
992,0.56683
993,0.56366
994,0.56048
995,0.55731
996,0.55413
997,0.55096
998,0.54847
999,0.54612
1000,0.54377
1001,0.54143
1002,0.53908
1003,0.53674
1004,0.53439
1005,0.53205
1006,0.52932
1007,0.52526
1008,0.52119
1009,0.51712
1010,0.51305
1011,0.50786
1012,0.50256
1013,0.49726
1014,0.49196
1015,0.48728
1016,0.483
1017,0.47872
1018,0.47445
1019,0.47017
1020,0.46589
1021,0.46201
1022,0.45818
1023,0.45436
1024,0.45053
1025,0.44671
1026,0.4427
1027,0.43762
1028,0.43254
1029,0.42745
1030,0.42237
1031,0.41745
1032,0.41256
1033,0.40767
1034,0.39985
1035,0.3919
1036,0.38425
1037,0.37956
1038,0.37487
1039,0.37018
1040,0.3655
1041,0.36016
1042,0.35465
1043,0.34915
1044,0.34364
1045,0.33851
1046,0.33378
1047,0.32904
1048,0.32431
1049,0.31957
1050,0.31484
1051,0.30747
1052,0.29922
1053,0.29097
1054,0.2846
1055,0.27848
1056,0.27236
1057,0.26625
1058,0.26049
1059,0.25498
1060,0.24948
1061,0.24397
1062,0.23853
1063,0.23324
1064,0.22795
1065,0.22266
1066,0.21737
1067,0.21306
1068,0.20878
1069,0.2045
1070,0.20023
1071,0.19595
1072,0.19181
1073,0.18814
1074,0.18447
1075,0.1808
1076,0.17712
1077,0.17345
1078,0.16963
1079,0.16566
1080,0.16169
1081,0.15771
1082,0.15374
1083,0.14977
1084,0.14659
1085,0.14365
1086,0.14072
